MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(4, 8)","(3, 18)",4431,0,1403,273078
"(3, 4)","(3, 4)","(4, 8)","(3, 21)",4285,0,1401,272911
"(3, 4)","(3, 4)","(4, 8)","(3, 24)",4179,0,1394,268981
"(3, 4)","(3, 4)","(4, 8)","(4, 6)",8291,0,1508,302531
"(3, 4)","(3, 4)","(4, 8)","(4, 8)",6370,0,1456,291547
"(3, 4)","(3, 4)","(4, 8)","(4, 10)",5574,0,1435,286506
"(3, 4)","(3, 4)","(4, 8)","(4, 12)",5124,0,1421,278798
"(3, 4)","(3, 4)","(4, 8)","(4, 15)",4732,0,1402,273098
"(3, 4)","(3, 4)","(4, 8)","(4, 18)",4508,0,1381,268038
"(3, 4)","(3, 4)","(4, 8)","(4, 21)",4331,0,1379,271515
"(3, 4)","(3, 4)","(4, 8)","(4, 24)",4227,0,1369,265163
"(3, 4)","(3, 4)","(4, 10)","(3, 6)",6116,0,1549,302123
"(3, 4)","(3, 4)","(4, 10)","(3, 8)",4978,0,1493,286794
"(3, 4)","(3, 4)","(4, 10)","(3, 10)",4406,0,1460,281400
"(3, 4)","(3, 4)","(4, 10)","(3, 12)",4064,0,1438,278497
"(3, 4)","(3, 4)","(4, 10)","(3, 15)",3750,0,1412,267892
"(3, 4)","(3, 4)","(4, 10)","(3, 18)",3553,0,1386,267152
"(3, 4)","(3, 4)","(4, 10)","(3, 21)",3405,0,1376,262348
"(3, 4)","(3, 4)","(4, 10)","(3, 24)",3308,0,1374,260899
"(3, 4)","(3, 4)","(4, 10)","(4, 6)",7359,0,1488,292043
"(3, 4)","(3, 4)","(4, 10)","(4, 8)",5462,0,1438,280025
"(3, 4)","(3, 4)","(4, 10)","(4, 10)",4672,0,1413,277040
"(3, 4)","(3, 4)","(4, 10)","(4, 12)",4234,0,1399,270889
"(3, 4)","(3, 4)","(4, 10)","(4, 15)",3842,0,1385,267134
"(3, 4)","(3, 4)","(4, 10)","(4, 18)",3626,0,1361,262092
"(3, 4)","(3, 4)","(4, 10)","(4, 21)",3445,0,1361,260165
"(3, 4)","(3, 4)","(4, 10)","(4, 24)",3347,0,1354,257571
"(3, 4)","(3, 4)","(4, 12)","(3, 6)",5528,0,1466,287015
"(3, 4)","(3, 4)","(4, 12)","(3, 8)",4412,0,1419,274404
"(3, 4)","(3, 4)","(4, 12)","(3, 10)",3853,0,1388,265521
"(3, 4)","(3, 4)","(4, 12)","(3, 12)",3515,0,1367,264912
"(3, 4)","(3, 4)","(4, 12)","(3, 15)",3209,0,1348,254984
"(3, 4)","(3, 4)","(4, 12)","(3, 18)",3017,0,1324,254409
"(3, 4)","(3, 4)","(4, 12)","(3, 21)",2878,0,1317,249880
"(3, 4)","(3, 4)","(4, 12)","(3, 24)",2784,0,1314,248399
"(3, 4)","(3, 4)","(4, 12)","(4, 6)",6753,0,1408,277046
"(3, 4)","(3, 4)","(4, 12)","(4, 8)",4899,0,1361,264749
"(3, 4)","(3, 4)","(4, 12)","(4, 10)",4116,0,1343,260977
"(3, 4)","(3, 4)","(4, 12)","(4, 12)",3692,0,1329,255548
"(3, 4)","(3, 4)","(4, 12)","(4, 15)",3318,0,1321,251649
"(3, 4)","(3, 4)","(4, 12)","(4, 18)",3093,0,1302,247607
"(3, 4)","(3, 4)","(4, 12)","(4, 21)",2928,0,1295,244518
"(3, 4)","(3, 4)","(4, 12)","(4, 24)",2830,0,1287,241433
"(3, 4)","(3, 4)","(4, 15)","(3, 6)",5072,0,1459,283255
"(3, 4)","(3, 4)","(4, 15)","(3, 8)",3987,0,1411,269395
"(3, 4)","(3, 4)","(4, 15)","(3, 10)",3429,0,1375,261363
"(3, 4)","(3, 4)","(4, 15)","(3, 12)",3103,0,1356,262076
"(3, 4)","(3, 4)","(4, 15)","(3, 15)",2800,0,1338,252867
"(3, 4)","(3, 4)","(4, 15)","(3, 18)",2599,0,1303,248713
"(3, 4)","(3, 4)","(4, 15)","(3, 21)",2464,0,1306,248174
"(3, 4)","(3, 4)","(4, 15)","(3, 24)",2365,0,1302,244346
"(3, 4)","(3, 4)","(4, 15)","(4, 6)",6287,0,1402,272300
"(3, 4)","(3, 4)","(4, 15)","(4, 8)",4457,0,1355,260431
"(3, 4)","(3, 4)","(4, 15)","(4, 10)",3686,0,1334,256108
"(3, 4)","(3, 4)","(4, 15)","(4, 12)",3272,0,1320,246887
"(3, 4)","(3, 4)","(4, 15)","(4, 15)",2888,0,1308,241957
"(3, 4)","(3, 4)","(4, 15)","(4, 18)",2681,0,1286,235986
"(3, 4)","(3, 4)","(4, 15)","(4, 21)",2513,0,1288,240625
"(3, 4)","(3, 4)","(4, 15)","(4, 24)",2417,0,1275,232696
"(3, 4)","(3, 4)","(4, 18)","(3, 6)",4708,0,1436,271151
"(3, 4)","(3, 4)","(4, 18)","(3, 8)",3644,0,1388,258321
"(3, 4)","(3, 4)","(4, 18)","(3, 10)",3106,0,1356,250821
"(3, 4)","(3, 4)","(4, 18)","(3, 12)",2790,0,1335,249170
"(3, 4)","(3, 4)","(4, 18)","(3, 15)",2501,0,1322,244781
"(3, 4)","(3, 4)","(4, 18)","(3, 18)",2312,0,1297,239850
"(3, 4)","(3, 4)","(4, 18)","(3, 21)",2182,0,1288,241196
"(3, 4)","(3, 4)","(4, 18)","(3, 24)",2093,0,1279,237480
"(3, 4)","(3, 4)","(4, 18)","(4, 6)",5881,0,1376,262927
"(3, 4)","(3, 4)","(4, 18)","(4, 8)",4108,0,1326,252639
"(3, 4)","(3, 4)","(4, 18)","(4, 10)",3365,0,1311,251689
"(3, 4)","(3, 4)","(4, 18)","(4, 12)",2962,0,1299,243457
"(3, 4)","(3, 4)","(4, 18)","(4, 15)",2598,0,1286,242329
"(3, 4)","(3, 4)","(4, 18)","(4, 18)",2381,0,1268,235733
"(3, 4)","(3, 4)","(4, 18)","(4, 21)",2225,0,1266,234148
"(3, 4)","(3, 4)","(4, 18)","(4, 24)",2130,0,1256,235771
"(3, 4)","(3, 4)","(4, 21)","(3, 6)",4440,0,1379,264130
"(3, 4)","(3, 4)","(4, 21)","(3, 8)",3413,0,1340,252332
"(3, 4)","(3, 4)","(4, 21)","(3, 10)",2883,0,1310,245284
"(3, 4)","(3, 4)","(4, 21)","(3, 12)",2573,0,1293,242721
"(3, 4)","(3, 4)","(4, 21)","(3, 15)",2284,0,1277,237597
"(3, 4)","(3, 4)","(4, 21)","(3, 18)",2102,0,1251,231641
"(3, 4)","(3, 4)","(4, 21)","(3, 21)",1975,0,1249,233997
"(3, 4)","(3, 4)","(4, 21)","(3, 24)",1886,0,1246,232449
"(3, 4)","(3, 4)","(4, 21)","(4, 6)",5584,0,1330,255820
"(3, 4)","(3, 4)","(4, 21)","(4, 8)",3858,0,1288,244433
"(3, 4)","(3, 4)","(4, 21)","(4, 10)",3132,0,1270,243119
"(3, 4)","(3, 4)","(4, 21)","(4, 12)",2732,0,1256,235998
"(3, 4)","(3, 4)","(4, 21)","(4, 15)",2384,0,1252,232471
"(3, 4)","(3, 4)","(4, 21)","(4, 18)",2174,0,1229,228516
