SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
AB177521,,,,,,3,1,1,4,3,5,5,3,3,3,4
AB190421,10,9,11,9,11,11,14,16,6,10,11,9,14,8,12,5
AB190423,9,8,7,9,7,7,8,7,8,5,2,2,4,1,2,2
AB190425,1,3,2,1,1,3,2,2,1,2,1,1,2,1,2,1
AB190427,3,3,3,2,3,2,4,2,1,2,1,2,2,1,2,2
AB714921,1,,3,1,1,,,,1,,,,1,0,1,0
AB726923,,1,,,2,,1,,1,,3,2,0,0,0,0
AB728029,8,4,5,3,,1,9,5,4,6,,3,5,5,2,4
AB736625,1,2,1,1,2,1,2,2,1,3,3,1,1,2,1,2
AB736737,2,2,1,1,1,1,1,1,2,2,2,,5,2,1,1
AB736837,,1,,,,,,,,,1,,2,2,1,0
ACR0020T,1,,,,,,,,,,,,0,0,0,0
ACTAV009,,1,1,2,,1,1,1,1,1,1,2,1,1,3,2
ACTAV010,2,2,1,2,3,2,2,1,1,1,2,1,1,1,2,0
ACTAV011,1,,2,2,2,1,2,2,1,1,2,2,1,0,0,1
ACTAV012,3,2,2,2,2,2,2,3,1,2,4,1,2,1,2,1
ACTAV014,1,,1,,,,1,,3,1,1,,1,0,0,0
ACTAV017,1,,1,,1,1,1,2,,1,,,0,0,0,0
ACTAV018,1,1,,,1,,4,,,1,1,,0,0,1,0
ACTAV020,,,,,,2,1,3,1,3,2,2,7,2,1,3
ACTAV025,3,4,5,9,9,9,5,4,1,,7,10,5,4,6,5
ACTAV027,6,7,6,2,,6,3,5,1,1,,2,9,8,7,7
ACTAV033,,1,1,,1,,,,,,,3,0,0,0,2
ACTAV041,,,,,,,,4,9,13,14,14,16,17,15,5
ACTAV042,,,,,,,,2,14,17,12,17,23,16,18,12
AE000006,,1,1,1,,2,1,1,1,3,1,1,2,2,0,2
AE000007,1,1,,2,2,3,3,4,3,5,3,3,2,3,1,0
AN097177,4,11,8,4,9,16,4,3,5,5,5,4,3,9,4,2
AS000004,1,,1,,,,,,,,2,,0,1,1,0
AS000005,,,,,1,,,,,,,,0,0,0,0
AS000006,2,2,,1,2,4,,3,4,4,7,6,3,5,7,4
AS000011,3,2,3,2,2,2,3,3,3,2,4,3,1,3,4,3
AS000014,,1,1,1,1,1,,2,1,1,,1,1,1,2,1
AS000015,,,,,,,,,,1,1,,0,0,0,0
AS000016,1,,,1,1,,,,,,1,2,1,1,1,0
AS000018,,,,,1,,1,1,,2,2,1,3,2,2,2
AS000021,2,4,5,2,3,2,,,,,,,0,0,0,0
AS000022,,,1,,,,,,,,1,,0,0,0,0
AS000023,,,,,,,,,,,,1,1,0,0,0
AS000024,3,4,5,3,2,3,3,2,3,1,4,4,5,3,6,5
AS000042,3,3,1,1,2,3,2,2,3,4,3,1,2,1,3,3
AS000045,,,,1,,,,,,1,,,0,0,0,0
AS000046,1,,,,,,,1,,1,,,0,0,0,0
AS000051,1,1,2,2,,2,1,2,,1,2,1,0,1,0,1
AS000055,,2,,,,,,,,,,,0,0,0,0
AS000067,,,,,,,,,,,,1,0,0,0,1
AS000068,7,2,4,5,6,5,5,4,1,4,6,3,4,2,3,2
AS000069,,,1,,,,,1,,,,,0,0,0,1
AS000078,3,2,3,3,4,3,1,2,2,4,2,2,3,2,3,3
AS000082,6,5,8,8,7,7,7,5,3,7,6,7,6,8,8,6
AS000086,2,2,4,1,5,2,1,3,2,2,4,2,4,3,4,2
AS000088,1,4,3,6,5,5,4,3,4,4,3,5,3,2,4,2
AS000108,1,2,3,3,1,3,2,3,1,4,3,1,3,3,3,3
AS000121,,,1,,,,,,,,,,0,0,0,0
AS000130,1,,,,,,,,,,,,0,0,0,0
AS000160,4,3,4,5,5,7,6,8,3,5,1,9,8,6,7,5
AS000188,,2,,1,1,1,,1,,,,,0,0,0,0
AS000228,2,,,1,,,,,,3,1,2,2,1,2,2
AS000332,,,,1,1,,1,,,1,,1,0,0,0,1
AS000333,2,1,,,1,,1,1,,,,2,0,0,2,0
AS000342,1,3,2,,,,,,,,,,0,0,0,2
AS000363,,,,,,,,,,1,,,0,0,0,0
AS000365,,,,,,1,,,,,1,,0,0,1,0
AS010009,,,2,2,1,1,1,1,3,2,1,1,1,1,2,1
AS010015,,,,1,1,,,1,,1,1,1,2,1,0,1
AS010016,,,,,,,,,,,1,,1,0,1,0
AS010017,3,2,1,2,2,2,2,2,2,1,3,,3,2,2,1
AS010018,3,5,4,6,6,7,3,8,7,8,10,7,6,7,9,6
AS010021,,,,,,,,,,,,1,1,1,2,1
AS010022,2,3,2,2,2,2,,1,2,3,3,2,2,1,5,1
AS010025,4,4,5,4,5,4,6,4,3,6,7,9,7,8,8,9
AS010031,3,2,2,2,5,4,3,5,2,3,5,5,3,4,4,3
AS010032,2,2,2,1,2,1,1,2,2,2,3,4,5,2,3,4
AS010033,2,1,1,1,,1,1,5,1,2,2,3,4,2,2,2
AS010034,,,,1,,1,,,,,,,0,0,1,0
AS010036,1,4,2,4,3,3,3,4,1,4,5,2,4,4,5,6
AS010037,3,4,4,,4,2,3,2,2,2,4,3,4,4,6,6
AS010043,,1,,1,,1,,1,1,3,1,3,4,2,3,3
AS010045,2,1,2,3,3,2,1,2,2,1,2,3,2,3,4,3
AS010047,2,,1,2,,,1,,1,1,,1,0,1,0,0
