MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,rank1,No. of no space,No. of no inventory,rank2,sum of missing units
"(4, 5)","(4, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 4)","(3, 4)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 4)","(3, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 4)","(4, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 5)","(3, 4)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 5)","(3, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 5)","(4, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(4, 5)","(3, 4)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(4, 5)","(3, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(4, 5)","(4, 5)","(3, 8)","(4, 10)",5093,92,0,153,66,90067
"(3, 4)","(3, 4)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 4)","(3, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 4)","(4, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 5)","(3, 4)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 5)","(3, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 5)","(4, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(4, 5)","(3, 4)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(4, 5)","(3, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(4, 5)","(4, 5)","(3, 8)","(3, 12)",4430,74,0,154,67,90342
"(3, 4)","(3, 4)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 4)","(3, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 4)","(4, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 5)","(3, 4)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 5)","(3, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 5)","(4, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(4, 5)","(3, 4)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(4, 5)","(3, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(4, 5)","(4, 5)","(3, 10)","(3, 10)",4107,65,0,155,68,91788
"(3, 4)","(3, 4)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 4)","(3, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 4)","(4, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 5)","(3, 4)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 5)","(3, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 5)","(4, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(4, 5)","(3, 4)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(4, 5)","(3, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(4, 5)","(4, 5)","(4, 12)","(3, 6)",5759,105,0,155,68,96020
"(3, 4)","(3, 4)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 4)","(3, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 4)","(4, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 5)","(3, 4)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 5)","(3, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 5)","(4, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(4, 5)","(3, 4)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(4, 5)","(3, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(4, 5)","(4, 5)","(4, 8)","(4, 6)",8739,138,0,155,68,98981
"(3, 4)","(3, 4)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 4)","(3, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 4)","(4, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 5)","(3, 4)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 5)","(3, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 5)","(4, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(4, 5)","(3, 4)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(4, 5)","(3, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(4, 5)","(4, 5)","(3, 6)","(4, 18)",5354,97,0,159,69,92657
"(3, 4)","(3, 4)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 4)","(3, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 4)","(4, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 5)","(3, 4)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 5)","(3, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 5)","(4, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(4, 5)","(3, 4)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(4, 5)","(3, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(4, 5)","(4, 5)","(4, 6)","(4, 8)",8879,139,0,159,69,102323
"(3, 4)","(3, 4)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 4)","(3, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 4)","(4, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 5)","(3, 4)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 5)","(3, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 5)","(4, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(4, 5)","(3, 4)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(4, 5)","(3, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(4, 5)","(4, 5)","(3, 12)","(3, 8)",4323,70,0,160,70,93279
"(3, 4)","(3, 4)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 4)","(3, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 4)","(4, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 5)","(3, 4)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 5)","(3, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 5)","(4, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(4, 5)","(3, 4)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(4, 5)","(3, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(4, 5)","(4, 5)","(3, 15)","(3, 6)",5057,91,0,160,70,90565
"(3, 4)","(3, 4)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 4)","(3, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 4)","(4, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 5)","(3, 4)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 5)","(3, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 5)","(4, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(4, 5)","(3, 4)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(4, 5)","(3, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(4, 5)","(4, 5)","(4, 6)","(3, 10)",7699,132,0,161,71,105003
"(3, 4)","(3, 4)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 4)","(3, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 4)","(4, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 5)","(3, 4)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 5)","(3, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 5)","(4, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(4, 5)","(3, 4)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(4, 5)","(3, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(4, 5)","(4, 5)","(3, 10)","(4, 6)",7498,130,0,162,72,98665
"(3, 4)","(3, 4)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 4)","(3, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 4)","(4, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 5)","(3, 4)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 5)","(3, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 5)","(4, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(4, 5)","(3, 4)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(4, 5)","(3, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(4, 5)","(4, 5)","(4, 8)","(3, 8)",5971,108,0,164,73,97341
"(3, 4)","(3, 4)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 4)","(3, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 4)","(4, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 5)","(3, 4)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 5)","(3, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 5)","(4, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(4, 5)","(3, 4)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(4, 5)","(3, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(4, 5)","(4, 5)","(3, 6)","(4, 12)",6010,110,0,164,73,99542
"(3, 4)","(3, 4)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 4)","(3, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 4)","(4, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 5)","(3, 4)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 5)","(3, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 5)","(4, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(4, 5)","(3, 4)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(4, 5)","(3, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(4, 5)","(4, 5)","(3, 10)","(3, 8)",4736,83,0,166,74,97544
"(3, 4)","(3, 4)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 4)","(3, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 4)","(4, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 5)","(3, 4)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 5)","(3, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 5)","(4, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(4, 5)","(3, 4)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(4, 5)","(3, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(4, 5)","(4, 5)","(3, 6)","(4, 15)",5577,102,0,166,74,96895
"(3, 4)","(3, 4)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 4)","(3, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 4)","(4, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 5)","(3, 4)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 5)","(3, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 5)","(4, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(4, 5)","(3, 4)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(4, 5)","(3, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(4, 5)","(4, 5)","(3, 8)","(4, 8)",5981,109,0,166,74,93518
"(3, 4)","(3, 4)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 4)","(3, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 4)","(4, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 5)","(3, 4)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 5)","(3, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 5)","(4, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(4, 5)","(3, 4)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(4, 5)","(3, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(4, 5)","(4, 5)","(3, 6)","(3, 18)",5288,96,0,169,75,100176
"(3, 4)","(3, 4)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 4)","(3, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 4)","(4, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 5)","(3, 4)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 5)","(3, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 5)","(4, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(4, 5)","(3, 4)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(4, 5)","(3, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(4, 5)","(4, 5)","(3, 8)","(3, 10)",4812,86,0,170,76,94931
"(3, 4)","(3, 4)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 4)","(3, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 4)","(4, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 5)","(3, 4)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 5)","(3, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 5)","(4, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(4, 5)","(3, 4)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(4, 5)","(3, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(4, 5)","(4, 5)","(4, 10)","(3, 6)",6287,114,0,171,77,96028
"(3, 4)","(3, 4)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 4)","(3, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 4)","(4, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 5)","(3, 4)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 5)","(3, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 5)","(4, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(4, 5)","(3, 4)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(4, 5)","(3, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(4, 5)","(4, 5)","(4, 6)","(4, 6)",11149,142,0,174,78,112812
"(3, 4)","(3, 4)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 4)","(3, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 4)","(4, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 5)","(3, 4)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 5)","(3, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 5)","(4, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(4, 5)","(3, 4)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(4, 5)","(3, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(4, 5)","(4, 5)","(3, 6)","(3, 15)",5477,100,0,177,79,102958
"(3, 4)","(3, 4)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 4)","(3, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 4)","(4, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 5)","(3, 4)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 5)","(3, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 5)","(4, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(4, 5)","(3, 4)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(4, 5)","(3, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(4, 5)","(4, 5)","(3, 8)","(4, 6)",8223,136,0,178,80,103763
"(3, 4)","(3, 4)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 4)","(3, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 4)","(4, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 5)","(3, 4)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 5)","(3, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 5)","(4, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(4, 5)","(3, 4)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(4, 5)","(3, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(4, 5)","(4, 5)","(4, 6)","(3, 8)",8332,137,0,178,80,112783
"(3, 4)","(3, 4)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 4)","(3, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 4)","(4, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 5)","(3, 4)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 5)","(3, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 5)","(4, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(4, 5)","(3, 4)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(4, 5)","(3, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(4, 5)","(4, 5)","(3, 12)","(3, 6)",5600,103,0,181,81,101089
"(3, 4)","(3, 4)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 4)","(3, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 4)","(4, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 5)","(3, 4)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 5)","(3, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 5)","(4, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(4, 5)","(3, 4)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(4, 5)","(3, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(4, 5)","(4, 5)","(3, 6)","(4, 10)",6486,116,0,181,81,104759
"(3, 4)","(3, 4)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 4)","(3, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 4)","(4, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 5)","(3, 4)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 5)","(3, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 5)","(4, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(4, 5)","(3, 4)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(4, 5)","(3, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(4, 5)","(4, 5)","(3, 6)","(3, 12)",5799,106,0,183,82,110739
"(3, 4)","(3, 4)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 4)","(3, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 4)","(4, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 5)","(3, 4)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 5)","(3, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 5)","(4, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(4, 5)","(3, 4)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(4, 5)","(3, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(4, 5)","(4, 5)","(3, 6)","(4, 8)",7398,129,0,188,83,110126
"(3, 4)","(3, 4)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 4)","(3, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 4)","(4, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 5)","(3, 4)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 5)","(3, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 5)","(4, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(4, 5)","(3, 4)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(4, 5)","(3, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(4, 5)","(4, 5)","(3, 8)","(3, 8)",5430,99,0,190,84,102188
"(3, 4)","(3, 4)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 4)","(3, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 4)","(4, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 5)","(3, 4)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 5)","(3, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 5)","(4, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(4, 5)","(3, 4)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(4, 5)","(3, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(4, 5)","(4, 5)","(3, 10)","(3, 6)",6034,111,0,190,84,104017
"(3, 4)","(3, 4)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 4)","(3, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 4)","(4, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 5)","(3, 4)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 5)","(3, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 5)","(4, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(4, 5)","(3, 4)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(4, 5)","(3, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(4, 5)","(4, 5)","(4, 8)","(3, 6)",7261,127,0,190,84,106424
"(3, 4)","(3, 4)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 4)","(3, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 4)","(4, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 5)","(3, 4)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 5)","(3, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 5)","(4, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(4, 5)","(3, 4)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(4, 5)","(3, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(4, 5)","(4, 5)","(3, 6)","(3, 10)",6199,113,0,198,85,113980
"(3, 4)","(3, 4)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 4)","(3, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 4)","(4, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 5)","(3, 4)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 5)","(3, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 5)","(4, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(4, 5)","(3, 4)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(4, 5)","(3, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(4, 5)","(4, 5)","(4, 6)","(3, 6)",9655,140,0,203,86,119413
"(3, 4)","(3, 4)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 4)","(3, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 4)","(4, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 5)","(3, 4)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 5)","(3, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 5)","(4, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(4, 5)","(3, 4)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(4, 5)","(3, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(4, 5)","(4, 5)","(3, 6)","(4, 6)",9680,141,0,206,87,120337
"(3, 4)","(3, 4)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 4)","(3, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 4)","(4, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 5)","(3, 4)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 5)","(3, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 5)","(4, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(4, 5)","(3, 4)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(4, 5)","(3, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(4, 5)","(4, 5)","(3, 8)","(3, 6)",6742,119,0,210,88,111326
"(3, 4)","(3, 4)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 4)","(3, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 4)","(4, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 5)","(3, 4)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 5)","(3, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 5)","(4, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(4, 5)","(3, 4)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(4, 5)","(3, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(4, 5)","(4, 5)","(3, 6)","(3, 8)",6832,121,0,219,89,120249
"(3, 4)","(3, 4)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(3, 4)","(3, 5)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(3, 4)","(4, 5)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(3, 5)","(3, 4)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(3, 5)","(3, 5)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(3, 5)","(4, 5)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
"(4, 5)","(3, 4)","(3, 6)","(3, 6)",8169,135,0,241,90,129128
