SKU_ID,1,2,3,4,5,6
DS626515,3078,2502,2820,2935,2855,3106
DSN26997,3949,1632,2079,1426,1594,1457
FC004682,8100,6600,5750,6000,7900,7400
FC038348,2433,2037,2151,2039,2588,1982
FC082511,1850,1800,2000,2300,2000,1350
FC845091,13520,10960,12520,12880,11200,12480
FMC00286,4255,2040,1290,840,910,870
GS043110,1608,816,2928,1680,2784,1728
GS043134,2040,72,1056,0,3792,3024
GS043189,1656,1368,3120,1296,2760,2136
GS043295,528,888,1896,0,2616,2040
GS043301,1680,1152,1992,0,3816,3048
GS043639,0,1472,3488,1184,2336,1664
GS092135,1960,871,13,1656,2202,1715
GS092142,1675,1241,781,1438,2412,2085
GS092197,1676,1271,1622,1203,1594,1892
GS446242,2544,1608,3648,1848,144,48
GS703076,2880,2340,4392,576,4806,90
GS703182,0,1632,4128,1184,1920,704
GS859290,2118,1018,1534,1431,1853,2172
GS884343,7776,4643,8098,7148,7874,7125
I0004359,9286,6718,7302,7319,7837,6831
I0501059,2946,1541,1643,1452,1317,1041
I1325633,5590,5288,5695,5622,6459,5825
I1349273,1675,1440,1752,1633,1961,1798
I1357593,3286,2951,3388,2970,3439,3211
I5602449,26263,20108,22455,21295,23528,21184
I5603449,4860,3942,4668,4617,4807,4187
I5604449,2955,1899,2369,2499,2913,1906
I5631449,5240,4280,4996,4492,4763,2638
I5634449,1865,1437,1424,1313,1555,1382
I5635449,1940,1609,1464,1487,1630,1535
I5636449,1661,1657,1734,1374,1567,1736
I5637449,1458,1451,1339,1239,1280,1140
I6004059,2434,1917,2196,2052,2321,2056
I6701537,3973,3015,3898,3278,3834,3381
I7203905,6330,5432,5653,5410,5807,4459
I7204379,3812,3143,4149,3293,3535,2849
JC000015,14064,10290,10967,9866,11421,12458
JC000021,2139,1273,1509,1767,1534,1532
JC000026,2972,2638,3295,2998,3751,3496
JC000032,6366,4634,4355,4150,4941,4613
JC000035,9401,7661,9369,8693,9825,8520
JC000036,2536,2092,2296,1814,2256,2289
JJ124140,1904,972,1925,3224,2955,2528
JJ124386,3069,2854,3139,2497,3248,3698
JJ124478,5004,3497,3232,4070,4766,670
JJ253886,1310,1168,1429,1401,1922,1829
KV033276,1603,1222,1930,1358,1891,1693
KV144032,7245,6178,8215,7501,8764,8366
KV144186,1805,1402,1461,1780,1872,1846
LO000001,2740,1,0,0,3523,4662
LO000003,2145,1809,2040,1989,2464,1847
MP034163,2498,1796,2522,1702,2104,1890
MP095099,2300,1984,2146,1871,1989,1869
MP107464,2751,1977,1439,2134,2547,1801
MP173183,1656,1666,2053,2116,2128,1973
MP199016,14122,4098,7421,13134,12287,2139
MP202013,2391,124,6144,3921,4287,2844
MP448134,13432,7975,8117,8907,9369,8959
MP448233,1348,1548,1720,1403,1626,1601
MP448707,5565,4839,6406,5117,5551,6288
MP448714,5961,4058,4162,3544,3531,3805
MP505257,4821,3562,4736,4136,4736,4017
MP573178,1504,1329,1313,1247,1531,1462
MZ055730,8832,4836,2436,1968,2208,3168
NCH00274,3764,3438,5718,4282,4944,7599
NCH00732,34,7058,5231,3475,3869,0
NCH00959,3161,2429,3096,2953,3524,2962
NCH01189,2834,2002,2102,496,1266,1968
NCH02933,2767,2351,2365,2277,3286,2555
NCH03036,4427,3077,3411,3258,3858,275
NCH12437,2039,1821,1842,1641,2002,2093
NCH20124,5689,4937,6205,5114,5864,5647
NCH40299,2447,1743,1581,1162,1237,1143
NCH40541,5344,2935,4275,3944,5075,5366
NCH40725,3549,3123,4033,3560,4555,4393
NCH47346,2296,1957,2487,2123,2931,2472
NCH59283,2476,2422,4167,7410,11426,12162
NCH59313,3858,3,0,5834,4691,3433
NCH60147,6678,5547,4537,2674,3354,3371
NCH63543,659,582,1058,2789,3827,4645
NCH63598,1034,1366,1523,1332,1515,1349
NCH63635,3115,3294,4409,5353,8131,5905
NCH74048,3318,5129,4991,4165,5743,4825
NCH98904,934,888,903,1695,1836,2123
NE000002,5217,3550,4430,3972,4613,4253
NU718073,2559,2584,2784,2905,2961,2731
NV000002,14044,12636,11230,10489,11216,11966
NV000014,16077,12104,12489,12447,12680,14916
PE401571,6932,6810,7114,6701,4260,10254
PRG00001,3016,2725,2613,4016,4514,3486
RAK00001,3250,4579,5075,4848,2738,44
RAK00002,5702,6995,1395,5351,5542,6181
RAK00012,2837,1518,3196,3765,4028,4770
RAK00013,5604,4266,2987,4020,3656,5129
RB001342,17955,9652,8072,7074,7615,8100
RB001359,3755,2358,1650,1810,171,0
RB001597,4233,4667,1285,1050,1741,1796
RB001603,11951,6000,5203,4497,4697,4704
RB070615,1364,811,1835,1410,1663,1056
